name_raw,name_eng,name_hun,info_eng,info_hun,symbol,sys_raw,sys_dat,category,source,inter_val
rood,rood,rood,"40 sq rd, 1/4 acre","ang. kereszt: 40 sq rd, 1/4 acre",ro,imperial_us_customary_area,Imperial,area,1995 No. 1804.,1011.7141056
international_acre,international acre,international acre,4840 sq yd,"brit ún. ""nemzetközi"" hold: 4840 sq yd",ac (UK),imperial_us_customary_area,Imperial,area,1995 No. 1804.,4046.8564224
us_survey_acre,US survey acre,US survey acre,4840 (pre-convention) sq yd,am. (földmérő) hold: 4840 (egyezmény előtti) sq yd,ac (US),imperial_us_customary_area,US customary,area,"Butcher, Crown, and Gentry 2006, 9.",4046.873
square_mile,square mile,square mile,640 ac,ang. négyzetmérföld: 640 ac,sq mi,imperial_us_customary_area,Imperial,area,1995 No. 1804.,2589988.1103366
pous_area,πούς (pous),πούς (pus),"Att. sq. foot:  1/10,000 plt",att. négyzetláb:  1/10.000 plt,pt,attic_area,Attic,area,"Egger, Jochen, and Smart 2010, 460.",0.095
akaina_area,ἄκαινα (akaina),ἄκαινα (akaina),Att. sq. rod: 100 pt,att. négyzetrúd: 100 pt,akt,attic_area,Attic,area,"Egger, Jochen, and Smart 2010, 460.",9.5
plethron_area,πλέθρον (plethron),πλέθρον (plethron),Att. acre: 100 akt,att. hold: 100 akt,plt,attic_area,Attic,area,"Egger, Jochen, and Smart 2010, 460.",950.49
pes_quadratus,pes quadratus,pes quadratus,Rom. sq. foot: 1/14400 aq,róm. négyzetláb: 1/14400 aq,pq,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",0.09
dimidium_scripulum,dimidium scripulum,dimidium scripulum,"1/2 scr, 1/576 iug.","1/2 scr, 1/576 iug.",dscr.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",4.38
scripulum_area,scripulum,scripulum,aka. decempeda quadrata: 100 pq,aka. decempeda quadrata: 100 pq,scr.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",8.76
uncia_area,uncia,uncia,"The ounce of the iugerum, i.e. 1/12 iug.","A iugerum unciája, azaz 1/12 iug.",un.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",210.28
clima,clima,clima,"From the Gr. word ""klima"", 60*60 pedes sized area, 36 scr.","A gör. ""klima"" szóból, 60*60 pedes méretű terület, 36 scr.",clim.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",315.42
actus_quadratus,actus quadratus,actus quadratus,"An actus-sided (120 pedes) square, 4 clim.","Egy actus (120 pedes) oldalú négyzet, 4 clim.",aq,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",1261.67
iugerum,iugerum,iugerum,"Rom. acre: 120*140 pedes, i.e. 2 aq.","róm. hold: 120*140 pedes, azaz 2 aq",iug.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",2523.34
heredium,heredium,heredium,"mg. ""hereditary lot"", 2 iug.","jel. ""öröklött telek"", 2 iug.",her.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",5046.68
centuria,centuria,centuria,100 her.,100 her.,cent.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",504700.0
saltus,saltus,saltus,"mg. ""pasture"", 4 cent.","jel. ""legelő"", 4 cent.",sal.,roman_area,Roman,area,"Egger, Jochen, and Smart 2010, 461.",2018700.0
wiener_quadratlinie,Wiener Quadratlinie,Wiener Quadratlinie,Viennese sq. line,bécsi négyszögvonal,QLin.,austrian_viennese_area,Austrian/Viennese,area,"Bogdán 1990, 37.",4.8179861e-06
wiener_quadratzoll,Wiener Quadratzoll,Wiener Quadratzoll,Viennese sq. inch: 144 QLin.,bécsi négyszöghüvelyk: 144 QLin.,QZoll,austrian_viennese_area,Austrian/Viennese,area,"Bogdán 1990, 37.",0.00069379
wiener_quadratfuss,Wiener Quadratfuß,Wiener Quadratfuß,Viennese sq. foot: 144 QZoll,bécsi négyszögláb: 144 QZoll,QFuß,austrian_viennese_area,Austrian/Viennese,area,"Bogdán 1990, 37.",0.099907
wiener_quadratklafter,Wiener Quadratklafter,Wiener Quadratklafter,Viennese sq. fathom: 36 QFuß,bécsi négyszögöl: 36 QFuß,QKlaf.,austrian_viennese_area,Austrian/Viennese,area,"Bogdán 1990, 37.",3.59665
niederoesterreiches_joch,Niederösterreiches Joch,Niederösterreiches Joch,"Lower Austrian acre, originally 1584 QKlaf, rounded to 1600 in 1786 by Joseph II's decree.","Alsó-ausztriai hold, eredetileg 1584 QKlaft, 1786-ban II. József rendelettel kerekíti 1600-ra.",Joch,austrian_viennese_area,Austrian/Viennese,area,"Bogdán 1990, 37.",5754.64
oesterreichische_quadratmeile,Österreichische Quadratmeile,Österreichische Quadratmeile,Austrian sq. mile: 100 Joch,osztrák négyszögmérföld: 100 Joch,QMei.,austrian_viennese_area,Austrian/Viennese,area,"Bogdán 1990, 37.",575464.0
fort_quadratzoll,Fort. Quadratzoll,Fort. Quadratzoll,"Austrian fort. sq. inch, equal to the Paris sq. inch.","Osztrák erődítmény négyszöghüvelyk, megegyezik a párizsi négyszöghüvelykkel.",FQZ,austrian_fortification_area,Austrian fortification,area,"Bogdán 1990, 46.",0.00732
fort_quadratfuss,Fort. Quadratfuß,Fort. Quadratfuß,Austrian fort. sq. foot: 144 FQZ,osztrák erődítmény négyszögláb: 144 FQZ,FQF,austrian_fortification_area,Austrian fortification,area,"Bogdán 1990, 46.",0.10549
fort_quadratklafter,Fort. Quadratklafter,Fort. Quadratklafter,Austrian fort. sq. fathom: 36 FQF,osztrák erődítmény négyszögöl: 36 FQF,FQK,austrian_fortification_area,Austrian fortification,area,"Bogdán 1990, 46.",3.79782
kiralyi_negyszoglab,királyi négyszögláb,királyi négyszögláb,Hun. Royal sq. foot: 1/864 hold,"lat. pes quadratus, 1/864 hold",nláb,hungarian_royal_area,Hungarian Royal,area,"Bogdán 1978, 35, and Bogdán 1990, 36.",0.0977
kiralyi_negyszogol,királyi négyszögöl,királyi négyszögöl,Hun. Royal sq. fathom: 100 nláb,"lat. orgia quadrata, 100 nláb",nöl,hungarian_royal_area,Hungarian Royal,area,"Bogdán 1978, 35, and Bogdán 1990, 36.",9.772
kiralyi_hold,királyi hold,királyi hold,"Hun. Royal acre, 12*72 fathoms.","lat. iugerum, 12*72 öl",hold,hungarian_royal_area,Hungarian Royal,area,"Bogdán 1978, 35, and Bogdán 1990, 36.",8440.0
kiralyi_ekealja,királyi ekealj(a),királyi ekealj(a),Hun. Royal hide: 150 hold,"lat. aratrum, 150 hold",ekal.,hungarian_royal_area,Hungarian Royal,area,"Bogdán 1978, 35, and Bogdán 1990, 36.",1266300.0
becsi_negyszoghuvelyk,bécsi négyszöghüvelyk,bécsi négyszöghüvelyk,From the Austrian system.,Az osztrák rendszerből.,nhüv.,austro_hungarian_area,(Austro-)Hungarian,area,"Bogdán 1990, 37.",0.00069379
becsi_negyszoglab,bécsi négyszögláb,bécsi négyszögláb,"From the Austrian system, 144 QZoll/nhüvelyk.","Az osztrák rendszerből, 144 QZoll/nhüvelyk.",nláb,austro_hungarian_area,(Austro-)Hungarian,area,"Bogdán 1990, 37.",0.099907
becsi_negyszogol,bécsi négyszögöl,bécsi négyszögöl,"From the Austrian system, 36 QFuß/nláb.","Az osztrák rendszerből, 36 QFuß/nláb.",nöl,austro_hungarian_area,(Austro-)Hungarian,area,"Bogdán 1990, 37.",3.59665
magyar_hold,magyar hold,magyar hold,"From the Hungarian system, adjusted to the Viennese sq. fathom (1200).","A magyar rendszerből, a bécsi nölhőz igazítva (1200).",hold,austro_hungarian_area,(Austro-)Hungarian,area,"Bogdán 1990, 37.",4316.0
magyar_negyszogmerfold,magyar négyszögmérföld,magyar négyszögmérföld,"Latter development, does not fit the system: 161 2/5 hold.","Utólagos, nem illeszkedik a rendszerbe: 161 2/5 hold.",nmérf.,austro_hungarian_area,(Austro-)Hungarian,area,"Bogdán 1990, 37.",697800.0
katasztralis_negyszogol,katasztrális négyszögöl,katasztrális négyszögöl,Adoption of the Viennese sq. fathom.,A bécsi nöl adoptálása.,kat. nöl,cadastral,Cadastral,area,"Bogdán 1990, 36.",3.59665
katasztralis_hold,katasztrális hold,katasztrális hold,"Adoption of the Lower Austrian acre, 1600 QKlaf/kat. nöl.","Az alsó-ausztriai hold adoptálása, 1600 kat. QKlaf/kat. nöl.",kat. hold,cadastral,Cadastral,area,"Bogdán 1990, 36.",5754.642
pozsonyi_negyszoglab,pozsonyi négyszögláb,pozsonyi négyszögláb,Pressburg sq. foot,A pozsonyi láb négyzete.,nláb,pressburg_area,Pressburg,area,"Bogdán 1990, 50.",0.10036
pozsonyi_negyszogol,pozsonyi négyszögöl,pozsonyi négyszögöl,"Pressburg sq. fathom, 6*6 Pressburg feet.","6*6 pozsonyi láb, azaz 36 nláb.",nöl,pressburg_area,Pressburg,area,"Bogdán 1990, 50.",3.6138
banyanegyszogkotel_med,bánya(-négyszög)kötél,bánya(-négyszög)kötél,Selmecbánya mining (sq.) rope: 7*7 mining fathoms,selmeci bánya(-négyszög)kötél: 7*7 bányaöl,nköt.,selmec_area_med,Selmec/Hungarian mining (Medieval),area,"Bogdán 1990, 39.",200.08
banyatelek_med,bányatelek,bányatelek,Selmecbánya mining plot: 7*14 mining fathoms,selmeci bányatelek: 7*14 bányaöl,tel.,selmec_area_med,Selmec/Hungarian mining (Medieval),area,"Bogdán 1990, 39.",400.44
ket_banyatelek_med,két bányatelek,két bányatelek,double Selmecbánya mining plot: 7*28 mining fathoms,két selmeci bányatelek: 7*28 bányaöl,2tel.,selmec_area_med,Selmec/Hungarian mining (Medieval),area,"Bogdán 1990, 39.",800.91
harom_banyatelek_med,három bányatelek,három bányatelek,triple Selmecbánya mining plot: 7*42 mining fathoms,három selmeci bányatelek: 7*42 bányaöl,3tel.,selmec_area_med,Selmec/Hungarian mining (Medieval),area,"Bogdán 1990, 39.",1201.34
harom_regi_banyatelek_med,"három ""régi"" bányatelek","három ""régi"" bányatelek","triple Selmecbánya mining plot (""old"", 3 1/2 size): 7*49 mining fathoms","három selmeci bányatelek (""régi"", 3 1/2-es): 7*49 bányaöl",3tel.,selmec_area_med,Selmec/Hungarian mining (Medieval),area,"Bogdán 1990, 39.",1401.56
banyanegyszoglab_em,bányanégyszögláb,bányanégyszögláb,Selmecbánya mining sq. foot,selmeci bányanégyszögláb,nláb,selmec_area_em,Selmec/Hungarian mining (Early Modern),area,"Bogdán 1990, 47.",0.1134
banyanegyszogol_em,bányanégyszögöl,bányanégyszögöl,Selmecbánya mining sq. fathom: 36 nláb,selmeci bányanégyszögöl: 36 nláb,nöl,selmec_area_em,Selmec/Hungarian mining (Early Modern),area,"Bogdán 1990, 47.",4.0864
banyanegyszogkotel_em,bányanégyszögkötél,bányanégyszögkötél,Selmecbánya mining sq. rope: 7*7 mining fathoms,selmeci bányanégyszögkötél: 7*7 bányaöl,nköt.,selmec_area_em,Selmec/Hungarian mining (Early Modern),area,"Bogdán 1990, 47.",200.08
banyatelek_em,bányatelek,bányatelek,Selmecbánya mining plot: 7*14 mining fathoms,selmeci bányatelek: 7*14 bányaöl,tel.,selmec_area_em,Selmec/Hungarian mining (Early Modern),area,"Bogdán 1990, 47.",400.44
ket_banyatelek_em,két bányatelek,két bányatelek,double Selmecbánya mining plot: 7*28 mining fathoms,két selmeci bányatelek: 7*28 bányaöl,2tel.,selmec_area_em,Selmec/Hungarian mining (Early Modern),area,"Bogdán 1990, 47.",800.91
harom_banyatelek_em,három bányatelek,három bányatelek,triple Selmecbánya mining plot: 7*42 mining fathoms,három selmeci bányatelek: 7*42 bányaöl,3tel.,selmec_area_em,Selmec/Hungarian mining (Early Modern),area,"Bogdán 1990, 47.",1201.34
aknatelek,aknatelek,aknatelek,"mine shaft plot from 1753: 84*112 mining fathoms, 96 old plots","aknatelek 1753-tól: 84*112 bányaöl, 96 régi tel.",atel.,selmec_area_mod,Selmec/Hungarian mining (mid18th c.-),area,"Bogdán 1990, 47.",38400.0
kis_tarnatelek,"""kis"" tárnatelek","""kis"" tárnatelek","mine adit plot from 1792: 56*224 mining fathoms, 128 old plots","tárnatelek 1792-től: 56*224 bányaöl, 128 régi tel.",ttel.,selmec_area_mod,Selmec/Hungarian mining (mid18th c.-),area,"Bogdán 1990, 47.",51200.0
nagy_tarnatelek,"""nagy"" tárnatelek","""nagy"" tárnatelek","mine adit plot from 1753: 112*224 mining fathoms, 256 old plots","tárnatelek 1753-tól: 112*224 bányaöl, 256 régi tel.",ttel.,selmec_area_mod,Selmec/Hungarian mining (mid18th c.-),area,"Bogdán 1990, 47.",102500.0
koszegi_icce,kőszegi icce,kőszegi icce,Kőszeg vineyard area chopine: 1/8 ved.,kőszegi szőlő földmérték icce: 1/10 ved.,icce,koszeg_vineyard_area,Kőszeg vineyard area,area,"Bodgán 1978, 40.",36.5
koszegi_veder,kőszegi veder,kőszegi veder,Kőszeg vineyard area gallon: 10 icce,kőszegi szőlő földmérték veder: 10 icce,ved.,koszeg_vineyard_area,Kőszeg vineyard area,area,"Bodgán 1978, 40.",365.4
sarvari_pint,sárvári pint,sárvári pint,Sárvár vineyard area pint: 1/8 ved.,sárvári szőlő földmérték pint: 1/8 ved.,pint,sarvar_vineyard_area,Sárvár vineyard area,area,"Bodgán 1978, 40.",74.0
sarvari_veder,sárvári veder,sárvári veder,Sárvár vineyard area gallon: 8 pint,sárvári szőlő földmérték veder: 8 pint,ved.,sarvar_vineyard_area,Sárvár vineyard area,area,"Bodgán 1978, 40.",540.0
tokaji_puttony,tokaji puttony,tokaji puttony,Tokaj vineyard area basket: 1/5 hor.,tokaji szőlő földmérték puttony: 1/5 hor.,putt.,tokaj_vineyard_area,Tokaj vineyard area,area,"Bogdán 1990, 48.",122.15
tokaji_atalag,tokaji átalag,tokaji átalag,Tokaj vineyard area átalag (half-barrel): 2 1/2 putt.,tokaji szőlő földmérték átalag: 2 1/2 putt.,átl.,tokaj_vineyard_area,Tokaj vineyard area,area,"Bogdán 1990, 48.",305.54
tokaji_hordo,tokaji hordó,tokaji hordó,Tokaj vineyard area barrel: 2 átl.,tokaji szőlő földmérték hordó: 2 átl.,hor.,tokaj_vineyard_area,Tokaj vineyard area,area,"Bogdán 1990, 48.",610.84
sheet_wp,writing paper sheet,írólap ív,Lat. arcus / Ger. Bogen. A single sheet of paper.,lat. arcus / ném. Bogen: 1 db papírlap,arc.,writing_paper,writing paper,dimensionless,"Bogdán 1991, 53.",1.0
quire_wp,writing paper quire,írólap konc,Lat. liber / Ger. Buch: 24 sheets,lat. liber / ném. Buch: 24 ív,lib.,writing_paper,writing paper,dimensionless,"Bogdán 1991, 53.",24.0
ream_wp,writing paper ream,írólap rizsma,"Lat. ligatura / Ger. Ries: 20 quires, 480 sheets","lat. ligatura / ném. Ries: 20 konc, 480 ív",rs.,writing_paper,writing paper,dimensionless,"Bogdán 1991, 53.",480.0
bundle_wp,writing paper bundle,írólap bála,"Lat. bala / Ger. Ballen: 10 reams, 4800 sheets","lat. bala / ném. Ballen: 10 rizsma, 4800 ív",bal.,writing_paper,writing paper,dimensionless,"Bogdán 1991, 53.",10.0
sheet_pp,printing paper sheet,nyomdai ív,Lat. arcus / Ger. Bogen: A single sheet of paper.,lat. arcus / ném. Bogen: 1 db papírlap,arc.,printing_paper,printing paper,dimensionless,"Bogdán 1991, 53.",1.0
quire_pp,printing paper quire,nyomdai konc,Lat. liber / Ger. Buch: 24 sheets,lat. liber / ném. Buch: 25 ív,lib.,printing_paper,printing paper,dimensionless,"Bogdán 1991, 53.",25.0
ream_pp,printing paper ream,nyomdai rizsma,"Lat. ligatura / Ger. Ries: 20 quires, 480 sheets","lat. ligatura / ném. Ries: 20 konc, 500 ív",rs.,printing_paper,printing paper,dimensionless,"Bogdán 1991, 53.",500.0
bundle_pp,printing paper bundle,nyomdai bála,"Lat. bala / Ger. Ballen: 10 reams, 4800 sheets","lat. bala / ném. Ballen: 10 bála, 5000 ív",bal.,printing_paper,printing paper,dimensionless,"Bogdán 1991, 53.",5000.0
piece,piece,darab,Lat. numerus / Ger. Stück: a single unit of sg.,lat. numerus / ném. Stück: egy egységnyi,db,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",1.0
pair,pair,pár,from Ger. Paar and Lat. par: two pieces,ném. Paarból ill. lat. parból: két db,pár,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",2.0
deher,deher,deher,"Ger. Decher, Lat. decuria, usually for furs: 10 p.","ném. Decherből, lat. decuria, ált. prém: 10 db",deh.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",10.0
dozen,dozen,tucat,Ger. Dutzend and Lat. duodecim: 12 p.,ném. Dutzendből ill. lat. duodecimből: 12 db,tuc.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",12.0
mandel,mandel,mandel,word of Ger. origin: 15 p.,ném. eredetű szó: 15 db,man.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",15.0
stiga,stiga,stiga,word of Ger. origin: 20 p.,ném. eredetű szó: 20 db,sti.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",20.0
cimmer,cimmer,cimmer,"Ger. Zimmer, Lat. timbrium, usually for furs: 4 deh.","ném. Zimmerből, lat. timbrium, ált. prém, 4 deh.",cimm.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",40.0
sokk,sokk,sokk,"word of Ger. origin: 4 mandel, 60 p.","ném. eredetű szó: 4 mandel, 60 db",sokk,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",60.0
kis_szazas,short hundred,kis százas,"Ger. Hundert: 5 stiga, 100 p.","ném. Hundertből: 5 stiga, 100 db",k. száz.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",100.0
nagy_szazas,long hundred,nagy százas,"Ger. Hundert: 6 stiga, 120 p.","ném. Hundertből: 6 stiga, 120 db",n. száz.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",120.0
nagy,large,nagy,"Ger. Gross: 12 dozen, 144 p.","ném. Grossból: 12 tucat, 144 db",nagy,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",144.0
kis_ezres,short thousand,kis ezres,"Ger. Tausend: 50 stiga, 1000 p.","ném. Tausendből: 50 stiga, 1000 db",k. ez.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",1000.0
nagy_ezres,long thousand,nagy ezres,"Ger. Tausend: 60 stiga, 1200 p.","ném. Tausendből: 60 stiga, 1200 db",n. ez.,general_hungary_dl,general (Hungary),dimensionless,"Bogdán 1991, 53.",1200.0
millimetre,millimetre,milliméter,SI unit: 10⁻³m,SI mértékegység: 10⁻³m,mm,metric_length,SI,length,SI 2009.,0.001
centimetre,centimetre,centiméter,SI unit: 10⁻²m,SI mértékegység: 10⁻²m,cm,metric_length,SI,length,SI 2009.,0.01
decimetre,decimetre,deciméter,SI unit: 10⁻¹m,SI mértékegység: 10⁻¹m,dm,metric_length,SI,length,SI 2009.,0.1
metre,metre,méter,The SI base unit of length.,A hosszúság SI-alapegysége.,m,metric_length,SI,length,SI 2009.,1.0
kilometre,kilometre,kilométer,SI unit: 10³m,SI mértékegység: 10³m,km,metric_length,SI,length,SI 2009.,1000.0
inch,inch,inch,1/32 yd,ang. hüvelyk: 1/32 yd,in,imperial_us_customary_length,Imperial,length,1995 No. 1804.,0.0254
hand,hand,hand,4 in,ang. kéz: 4 in,h,imperial_us_customary_length,Imperial,length,1995 No. 1804.,0.1016
foot,foot,foot,12 in,ang. láb: 12 in,ft,imperial_us_customary_length,Imperial,length,1995 No. 1804.,0.3048
yard,yard,yard,"The length of the yardstick, 3 ft.","A yardstick hosszúsága, 3 ft.",yd,imperial_us_customary_length,Imperial,length,1995 No. 1804.,0.9144
fathom,fathom,fathom,6 ft,ang. öl: 6 ft,fth,imperial_us_customary_length,Imperial,length,1995 No. 1804.,1.8288
rod,rod,rod,"aka. perch or pole: 16,5 ft.","ang. rúd, aka. perch v. pole: 16,5 ft",rd,imperial_us_customary_length,Imperial,length,"Cardarelli 2003, 560–561.",5.0292
chain,chain,chain,22 yd,ang. lánc: 22 yd,ch,imperial_us_customary_length,Imperial,length,1995 No. 1804.,20.1168
furlong,furlong,furlong,10 ch,ang. stadion: 10 ch,fur,imperial_us_customary_length,Imperial,length,1995 No. 1804.,201.168
mile,mile,mile,1760 yd,ang. mérföld: 1760 yd,mi,imperial_us_customary_length,Imperial,length,1995 No. 1804.,1609.344
nautical_mile,nautical mile,nautical mile,The length of one minute of latitude at the Equator.,Tengeri mérföld = egy szögpercnyi távolság az Egyenlítőnél.,nmi,imperial_us_customary_length,Imperial,length,1995 No. 1804.,1853.0
daktylos,δάκτυλος (daktylos),δάκτυλος (daktylos),Att. finger: 1/16 p.,att. ujj: 1/16 p.,dak.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",0.01927
kondylos,κόνδυλος (kondylos),κόνδυλος (kondylos),"mg. ""knuckle"" or ""joint"", length of the medial finger joint, 2 dak.","jel. ""ököl"" v. ""ízület"", az ujj középső percének hossza, 2 dak.",kon.,attic_length,Attic,length,"Based on values in Egger, Jochen, and Smart 2010, 459.",0.03854
palaiste,παλαιστή (palaistē),παλαιστή (palaisté),"Att. palm, aka. δῶρον (dōron), 4 dak.","att. tenyér, aka. δῶρον (dóron), 4 dak.",pal.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",0.07708
dichas,διχάς (dichas),διχάς (dichas),"aka. ἡμιπόδιον (hēmipodion), 1/2 p., 8 dak.","aka. ἡμιπόδιον (hémipodion), 1/2 p., 8 dak.",dich.,attic_length,Attic,length,"Based on values in Egger, Jochen, and Smart 2010, 459.",0.15415
lichas,λιχάς (lichas),λιχάς (lichas),Att. short/little span: 10 dak.,att. kisarasz: 10 dak.,lich.,attic_length,Attic,length,"Hultsch 1882, 697, tab. II.A.",0.1927
orthodoron,ὀρθόδωρον (orthodōron),ὀρθόδωρον (orthodóron),The length of the palm: 11 dak.,A tenyér hosszúsága: 11 dak.,orth.,attic_length,Attic,length,"Based on values in Egger, Jochen, and Smart 2010, 459.",0.21197
spithame,σπιθαμή (spithamē),σπιθαμή (spithamé),Att. long/full span: 12 dak.,att. nagyarasz: 12 dak.,spi.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",0.23123
pous_length,πούς (pous),πούς (pus),Att. foot: 16 dak.,att. láb: 16 dak.,p.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",0.3083
pygme,πυγμή (pygmē),πυγμή (pygmé),Length of the forearm and fist: 18 dak.,Az alkar és az ököl hosszúsága: 18 dak.,pyg.,attic_length,Attic,length,"Hultsch 1882, 697, tab. II.A.",0.3468
pygon,πυγών (pygōn),πυγών (pygón),The distance between the elbow and the end of the first finger joint: 20 dak.,Távolság a könyöktől az első ujjperc végéig: 20 dak.,pyg.,attic_length,Attic,length,"Hultsch 1882, 697, tab. II.A.",0.3854
pechys,πῆχυς (pēchys),πῆχυς (péchys),Att. ell/cubit (the distance between the elbow and the tip of the middle finger): 24 dak.,att. könyök/rőf (távolság a könyöktől a középső ujj hegyéig): 24 dak.,pech.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",0.46245
haplun_bema,ἁπλοῦν βῆμα (haplun bēma),ἁπλοῦν βῆμα (haplun béma),Att. step: 2 1/2 p.,att. lépés: 2 1/2 p.,bm,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",0.77075
diplun_bema,διπλοῦν βῆμα (diplun bēma),διπλοῦν βῆμα (diplun béma),Att. double step/pace: 5 p.,att. kettős lépés: 5 p.,dbm,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",1.5415
orgyia,ὄργυια (orgyia),ὄργυια (orgyia),"Att. fathom: 1/100 stad., 6 p.","att. öl: 1/100 stad., 6 p.",org.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",1.8498
kalamos,κάλαμος (kalamos),κάλαμος (kalamos),"Att. rod, aka. ἄκαινα (akaina) or δεκάπους (dekapous), 10 p.","att. rúd, aka. ἄκαινα (akaina) v. δεκάπους (dekapus), 10 p.",kal.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",3.083
plethron_length,πλέθρον (plethron),πλέθρον (plethron),The length of a furrow: 100 p.,Egy barázda hossza: 100 p.,pleth.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",30.83
stadion,στάδιον (stadion),στάδιον (stadion),The length of a racetrack.,Egy versenypálya hossza: 600 p.,stad.,attic_length,Attic,length,"Egger, Jochen, and Smart 2010, 459.",184.98
diaulos,δίαυλος (diaulos),δίαυλος (diaulos),Double race distance: 2 stad.,Dupla versenytáv: 2 stad.,diau.,attic_length,Attic,length,"Hultsch 1882, 697, tab. II.B.",369.96
hippikon,ἱππικόν (hippikon),ἱππικόν (hippikon),The length of a hippodrome: 4 stad.,Egy hippodróm hossza: 4 stad.,hip.,attic_length,Attic,length,"Hultsch 1882, 697, tab. II.B.",739.92
dolichos,δόλιχος (dolichos),δόλιχος (dolichos),A long race distance: 12 stad.,Egy hosszú versenytáv: 12 stad.,dol.,attic_length,Attic,length,"Hultsch 1882, 697, tab. II.B.",2219.76
digitus,digitus,digitus,Rom. finger: 1/16 p.,róm. ujj: 1/16 p.,dig.,roman_length,Roman,length,"Nissen 1886, tab. III.",0.0185
uncia_length,uncia,uncia,"Ounce of the foot, i.e. 1/12 p.","A pes unciája, azaz 1/12 p.",un.,roman_length,Roman,length,"Nissen 1886, tab. III.",0.0247
palmus,palmus,palmus,Rom. palm: 4 dig.,róm. tenyér: 4 dig.,pal.,roman_length,Roman,length,"Nissen 1886, tab. III.",0.074
